Bike-Number,Rental-Time,Rental-Type,Rental-Location,Rental-Lat,Rental-Lng,Return-Time,Return-Type,Return-Location,Return-Lat,Return-Lng,Duration-Minutes,Movement-Type
10703,2025-07-20 22:29:56,Station (physisch),Jelbi S+U Zoologischer Garten/Jebensstraße (CHA/JE),52.506622,13.33148,2025-07-20 22:41:44,Station (virtuell),Ilsenburger Straße (Kaiserin-Augusta-Allee),52.525595,13.309977,11.8,Station:Station
15578,2025-07-20 20:55:15,Station (virtuell),U Uhlandstraße (Kurfürstendamm/Uhlandstraße),52.502175,13.325102,2025-07-20 22:41:44,Station (virtuell),Baerwaldstraße/Blücherstraße,52.493001,13.402223,106.5,Station:Station
19720,2025-07-20 20:56:22,Station (virtuell),VRAO 28 - Friedrichstraße/Schiffbauerdamm (Abstellfläche-Mikromobilität),52.522361,13.387565,2025-07-20 22:41:44,Station (virtuell),Lüneburger Straße/Paulstraße (IPU),52.519711,13.355843,105.4,Station:Station
17817,2025-07-20 22:29:56,Station (physisch),Mehringdamm,52.490202,13.386766,2025-07-20 22:41:44,Station (virtuell),Burgemeisterstraße/Tempelhofer Damm,52.456326,13.384046,11.8,Station:Station
101126,2025-07-20 22:29:56,Station (virtuell),Jelbi Fichtestraße/Körtestraße (KRE/FIT),52.49138,13.4129,2025-07-20 22:41:44,Station (virtuell),Scharnweberstraße/Gürtelstraße,52.511766,13.475074,11.8,Station:Station
18942,2025-07-20 22:29:56,Station (virtuell),Jelbi Katharina-Paulus-Straße/Alt-Moabit (MOA/KA),52.522689,13.367294,2025-07-20 22:41:44,Station (physisch),Paulstr./Alt-Moabit,52.523155,13.35701,11.8,Station:Station
18546,2025-07-20 22:13:05,Station (virtuell),Jelbi Herrfurthplatz West (NEU/HW),52.476935,13.421296,2025-07-20 22:41:44,Station (virtuell),virtuell – Wassertorstraße,52.499115,13.411061,28.6,Station:Station
15726,2025-07-20 22:29:56,Freistehend,Flexzone,52.496516,13.389699,2025-07-20 22:41:44,Freistehend,Flexzone,52.496516,13.389699,11.8,Flexzone:Flexzone
10533,2025-07-20 20:55:15,Station (virtuell),Jelbi Lichtensteinallee/Café am Neuen See (TIE/LI),52.5108,13.3453,2025-07-20 22:41:44,Station (virtuell),Jelbi Lichtensteinallee/Café am Neuen See (TIE/LI),52.5108,13.3453,106.5,Station:Station
15226,2025-07-20 22:29:56,Station (virtuell),Schiffbauerdamm/Albrechtstraße,52.520687,13.3848,2025-07-20 22:41:44,Station (virtuell),VRAO 35 - Waldstraße (Mikromobilitätsabstellfläche),52.528175,13.330726,11.8,Station:Station
17695,2025-07-20 20:55:15,Station (virtuell),VRAO 18 - U Rosenthaler Platz/Weinbergsweg (Abstellfläche-Mikromobilität),52.530604,13.402103,2025-07-20 22:41:44,Station (virtuell),virtuell –Weichselpark,52.488043,13.438012,106.5,Station:Station
