timestamp,station_name,event_type,duration_seconds,booked_bikes_entry,booked_bikes_exit,available_bikes_before,available_bikes_after,bikes_available_to_rent,bike_racks,free_racks,special_racks
2025-07-20T17:13:03,VRAO 20 - Boxhagener Platz/Südwest (Abstellfläche-Mikromobilität),not_booked:bike_taken,0,0,0,3,2,2,6,4,0
2025-07-20T17:13:03,Munsterdamm (Sommerbad am Insulaner),not_booked:bike_taken,0,0,0,3,2,2,4,2,0
2025-07-20T17:13:13,Straße des 17. Juni/Müller-Breslau-Straße,not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:13:35,S Adlershof (Weerthstraße),booked:not_taken,365,1,0,1,1,1,4,3,0
2025-07-20T17:13:46,Munsterdamm (Sommerbad am Insulaner),not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:13:56,Kapelle-Ufer/Alexanderufer,booked:not_taken,118,1,0,3,3,3,4,1,0
2025-07-20T17:13:56,Helene-Jacobs-Straße/Reichenhaller Straße,booked:not_taken,483,1,0,2,2,2,4,2,0
2025-07-20T17:14:07,U Eberswalder Straße,not_booked:bike_taken,0,0,0,2,1,1,14,13,0
2025-07-20T17:14:07,Kapelle-Ufer/Alexanderufer,not_booked:bike_taken,0,0,0,3,2,2,4,2,0
2025-07-20T17:14:39,U Rathaus Neukölln (Schönstedtstraße),not_booked:bike_taken,0,0,0,5,4,4,4,0,0
2025-07-20T17:14:50,U Rathaus Neukölln (Schönstedtstraße),not_booked:bike_taken,0,0,0,4,3,3,4,0,0
2025-07-20T17:14:50,Simon-Dach-Straße/Frankfurter Allee,not_booked:bike_taken,0,0,0,7,5,5,4,0,0
2025-07-20T17:15:01,Gleimstraße/Sonnenburger Straße,booked:not_taken,548,1,0,1,1,1,4,3,0
2025-07-20T17:15:01,Jelbi Mühlenstraße/ Straße der Pariser Kommune (FHA/MU),not_booked:bike_taken,0,0,0,4,3,3,12,8,0
2025-07-20T17:15:13,Lehrter Straße (51),not_booked:bike_taken,0,0,0,4,3,3,4,0,0
2025-07-20T17:15:24,S Wollankstraße (Sternstraße),booked:bike_taken,425,1,0,3,2,2,4,2,0
2025-07-20T17:15:34,Jelbi Hasenheide/Graefestraße (KRE/HA),not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:15:45,Jelbi Mühlenstraße/ Straße der Pariser Kommune (FHA/MU),not_booked:bike_taken,0,0,0,3,2,2,12,9,0
2025-07-20T17:15:56,Jelbi S+U Zoologischer Garten/Jebensstraße (CHA/JE),booked:not_taken,55,1,0,1,1,1,10,9,0
2025-07-20T17:15:56,VRAO 31 - Mohrenstraße/Charlottenstraße (Abstellfläche-Mikromobilität),booked:bike_taken,238,1,0,4,3,3,6,3,0
2025-07-20T17:15:56,M Platz der Vereinten Nationen,not_booked:bike_taken,0,0,0,2,1,1,9,8,0
2025-07-20T17:16:07,U Ernst-Reuter-Platz,not_booked:bike_taken,0,0,0,2,1,1,15,13,0
2025-07-20T17:16:18,Krüllstraße/Karl-Kruger-Straße,not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:16:34,Jelbi Freie Universität/Fabeckstraße (DAH/FA),booked:not_taken,641,1,0,2,2,2,4,2,0
2025-07-20T17:16:34,Jelbi U Kottbusser Tor/Reichenberger Straße (KRE/KR),not_booked:bike_taken,0,0,0,3,2,2,12,10,0
2025-07-20T17:16:45,Bahnhofstraße/Lindenstraße,booked:bike_taken,652,2,1,2,1,0,4,3,0
2025-07-20T17:16:55,Jelbi Freie Universität/Silberlaube (DAH/SI),booked:not_taken,662,1,0,1,1,1,4,2,0
2025-07-20T17:16:55,Belziger Straße/Akazienstraße,not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:16:55,U Spittelmarkt (West),not_booked:bike_taken,0,0,0,4,3,3,4,1,0
2025-07-20T17:17:06,S Ostbahnhof (Nordost),booked:bike_taken,388,1,0,4,3,3,5,2,0
2025-07-20T17:17:06,S Wannsee,booked:not_taken,673,2,0,2,2,2,4,2,0
2025-07-20T17:17:17,Jelbi U Gleisdreieck (KRE/GLD),not_booked:bike_taken,0,0,0,6,5,5,10,5,0
2025-07-20T17:17:49,Jelbi S+U Zoologischer Garten/Hardenbergplatz (CHA/HA),not_booked:bike_taken,0,0,0,5,4,4,8,4,0
2025-07-20T17:18:11,Köpenicker Chausee (Klingenbergbrücke),not_booked:bike_taken,0,0,0,5,4,4,4,0,0
2025-07-20T17:18:21,Grüntaler Straße (Osloer Straße),not_booked:bike_taken,0,0,0,4,3,3,4,1,0
2025-07-20T17:18:21,Jelbi Lichtensteinallee/Café am Neuen See (TIE/LI),not_booked:bike_taken,0,0,0,2,1,1,8,7,0
2025-07-20T17:18:21,U Prinzenstraße,not_booked:bike_taken,0,0,0,19,18,18,12,0,0
2025-07-20T17:18:32,Mühlendamm/Spreeufer,booked:not_taken,759,1,0,3,3,3,4,1,0
2025-07-20T17:18:32,Fasanenstraße/Hertzallee,not_booked:bike_taken,0,0,0,14,13,13,4,0,0
2025-07-20T17:18:32,Jelbi U Mierendorffplatz (CHA/MI),not_booked:bike_taken,0,0,0,2,1,1,10,9,0
2025-07-20T17:18:43,U Prinzenstraße,not_booked:bike_taken,0,0,0,18,17,17,12,0,0
2025-07-20T17:18:54,virtuell - S Treptower Park (Puschkinallee/Elsenstraße),not_booked:bike_taken,0,0,0,5,4,4,5,0,0
2025-07-20T17:18:54,Reichenberger Straße/Ratiborstraße,not_booked:bike_taken,0,0,0,3,2,2,4,2,0
2025-07-20T17:18:54,S Sonnenallee,not_booked:bike_taken,0,0,0,2,1,1,10,9,0
2025-07-20T17:19:15,Sonnenallee/Treptower Straße,booked:not_taken,802,2,0,2,2,2,7,5,0
2025-07-20T17:19:15,Jelbi Grünberger Straße/Simon-Dach-Straße (FHA/GS),booked:bike_taken,97,1,0,3,2,2,8,6,0
2025-07-20T17:19:15,**DB Mobility Hub S Südkreuz (EDEKA Südkreuz/Lotte-Laserstein-Straße),not_booked:bike_taken,0,0,0,3,2,2,8,6,0
2025-07-20T17:19:15,**Jelbi S+U Hauptbahnhof/Europaplatz West (MOA/EW),not_booked:bike_taken,0,0,0,13,12,12,28,15,0
2025-07-20T17:19:26,Breite Straße,not_booked:bike_taken,0,0,0,3,2,2,26,24,0
2025-07-20T17:19:58,Jelbi Am Lustgarten (MIT/LU),booked:bike_taken,118,2,1,2,1,0,8,7,0
2025-07-20T17:19:58,Jelbi Burgstraße/Friedrichsbrücke (MIT/FR),not_booked:bike_taken,0,0,0,11,10,10,18,8,0
2025-07-20T17:20:09,Sonnenallee/Treptower Straße,not_booked:bike_taken,0,0,0,2,1,1,7,6,0
2025-07-20T17:20:42,**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),not_booked:bike_taken,0,0,0,4,3,3,10,7,0
2025-07-20T17:20:42,Potsdamer Str./Eichhornstr.,not_booked:bike_taken,0,0,0,2,1,1,6,4,0
2025-07-20T17:20:53,Jelbi Sommerbad Neukölln (NEU/SO),not_booked:bike_taken,0,0,0,15,14,14,4,0,0
2025-07-20T17:21:09,Fasanenstraße/Hertzallee,not_booked:bike_taken,0,0,0,13,12,12,4,0,0
